Bot_L,Bot_R,Timer,ActInterval,Round,SkillLeft,SkillRight,Games,Winner_L,Winner_R,ActionCounts_L,ActionCounts_R,TotalActions,Duration_L,Duration_R,Collisions_L,Collisions_R,Collisions_Tie,MatchDur,Accelerate_Dur_L,TurnLeft_Dur_L,TurnRight_Dur_L,Dash_Dur_L,SkillBoost_Dur_L,SkillStone_Dur_L,Accelerate_Dur_R,TurnLeft_Dur_R,TurnRight_Dur_R,Dash_Dur_R,SkillBoost_Dur_R,SkillStone_Dur_R,Accelerate_Act_L,TurnLeft_Act_L,TurnRight_Act_L,Dash_Act_L,SkillBoost_Act_L,SkillStone_Act_L,Accelerate_Act_R,TurnLeft_Act_R,TurnRight_Act_R,Dash_Act_R,SkillBoost_Act_R,SkillStone_Act_R,WinRate_L,WinRate_R,Rank_L,Rank_R
Bot_BT,Bot_NN,45.0,0.1,BestOf1,Boost,Boost,10,1,9,531,519,1050,46.58770015959999,40.78754956099999,22,33,20,11.201594567999999,23.938607249999997,12.032306956599998,9.713069502999998,0.79791115,0.1058053000000001,0.0,9.713698284999996,4.011135773000001,9.965433972999998,16.327567229999996,0.7697143000000004,0.0,139,174,198,18,2,0,128,134,210,43,4,0,0.1,0.9,3,1
Bot_BT,Bot_NN,45.0,0.1,BestOf1,Stone,Boost,10,3,7,711,516,1227,73.71527681699999,57.93576370499998,37,33,18,15.943279784000001,18.521011797999996,20.216943120999996,28.15130865799999,6.0601024399999925,0.0,0.7659108000000003,12.641483511999997,10.230431599000001,9.576178753999994,24.02475403999999,1.462915800000001,0.0,318,158,204,26,0,5,135,180,148,48,5,0,0.3,0.7,3,1
Bot_BT,Bot_NN,45.0,0.1,BestOf1,Stone,Stone,10,2,8,1750,1749,3499,225.8685560126,166.54772547299996,94,40,22,25.138512277,21.478352865999998,25.062207068599992,71.71481949800003,61.26210588,0.0,46.35107070000001,9.421192402999994,15.552166239999988,15.161813590000005,78.61410364,0.0,47.79844959999999,939,229,494,73,0,15,530,434,694,77,0,14,0.2,0.8,3,1
Bot_BT,Bot_NN,45.0,0.1,BestOf3,Boost,Stone,10,5,5,1293,1300,2593,136.35773467630005,380.97372642600004,101,31,38,35.54303944,57.26316534200002,35.49464539830001,37.09104207600001,4.400339460000013,2.1085424000000152,0.0,74.78839162300002,80.37486297700002,85.26306165600003,123.29632727,0.0,17.2510829,430,278,508,52,25,0,400,317,457,103,0,23,0.5,0.5,3,1
Bot_BT,Bot_NN,45.0,0.1,BestOf3,Stone,Stone,10,4,5,1495,1358,2853,502.033395068,581.937297898,89,55,38,36.45138823,88.93059750399999,93.745272569,104.95886781499999,107.19893908000002,0.0,107.19971810000001,84.767212834,94.13112337699998,107.371498407,175.83667648,0.0,119.8307868,649,337,429,53,0,27,484,337,410,95,0,32,0.4,0.5,3,1
Bot_BT,Bot_NN,45.0,0.1,BestOf3,Stone,Boost,10,2,8,1170,995,2165,143.6961306189,93.967964578,73,62,40,26.234059289999998,63.11493822800001,43.797393129899994,28.340864741000004,6.425654920000004,0.0,2.0172796000000073,19.811189222999996,15.339987293,16.521557212000005,36.92304875,5.372182100000002,0.0,469,316,333,41,0,11,271,319,294,91,20,0,0.2,0.8,3,1
Bot_BT,Bot_NN,45.0,0.1,BestOf1,Boost,Stone,10,1,9,923,875,1798,48.97159634170001,139.45749250400002,67,19,18,23.556303331,19.067387743999998,12.4362826957,13.383129032000003,3.022723270000004,1.062073599999998,0.0,25.18603939,23.88290644,36.285629064,49.20851631000001,0.0,4.894401300000004,314,249,307,40,13,0,244,258,308,57,0,8,0.1,0.9,3,1
Bot_BT,Bot_NN,45.0,0.1,BestOf3,Boost,Boost,10,0,10,1036,862,1898,67.9239518708,98.28626320999999,80,28,32,24.917507649999997,30.974030193999994,17.744711481800007,17.057254845000006,1.6225448499999988,0.5254104999999996,0.0,12.110254573999988,23.198885856,20.212845880000007,28.221386999999986,14.5428899,0.0,351,235,416,25,9,0,230,219,335,62,16,0,0.0,1.0,3,1
Bot_BT,Bot_NN,45.0,0.2,BestOf3,Stone,Boost,10,4,6,812,527,1339,60.4475941324,152.83729665700002,51,17,4,17.41178652,15.578635922999998,21.3824196534,23.457387616000002,0.029150940000002734,0.0,0.0,19.132819617,45.148348836000004,21.551216573999998,48.36205803,18.64285360000001,0.0,404,67,337,3,0,1,116,89,275,35,12,0,0.4,0.6,3,1
Bot_BT,Bot_NN,45.0,0.2,BestOf3,Boost,Stone,10,1,9,1294,892,2186,113.08938568490001,500.70654296600003,108,25,2,33.56110805,38.216919834,26.354150308899992,44.38680645200001,2.3337742900000027,1.7977348000000024,0.0,94.993870753,134.37567724000002,69.754978993,146.72443518,0.0,54.85758080000001,616,137,502,23,16,0,226,188,377,73,0,28,0.1,0.9,3,1
